item_id,supplier_id,supplier_name,season,supplier_reference,supplier_reference_description,purchase_price,length,width,height,weight,hscode6,hscode10,main,sub,detail,level4,item_type,color_1_id,color1,color_2_id,color2,color_3_id,color3,materials
1855,609,Changhao Glass,2026_SS,GJ17-20-A-13,Olive green Agate  200*200*180MM,15.50,20.00,20.00,18.00,1400.00,940529,9405295000,Lighting,Desk & Table Lamps,NULL,NULL,Table lamp,58,Green,NULL,NULL,NULL,NULL,"GLASS (95.00%), ELECTRICAL PARTS (5.00%)"
1856,609,Changhao Glass,2026_SS,G12-22-A-13,Olive green Agate  290*290*280MM,21.00,29.00,29.00,28.00,2200.00,940529,9405295000,Lighting,Desk & Table Lamps,NULL,NULL,Table lamp,58,Green,NULL,NULL,NULL,NULL,"GLASS (95.00%), ELECTRICAL PARTS (5.00%)"
1857,609,Changhao Glass,2026_SS,TL11-A-11,Olive green Agate  400*300*240MM,32.00,40.00,30.00,24.00,3400.00,940529,9405295000,Lighting,Desk & Table Lamps,NULL,NULL,Table lamp,58,Green,NULL,NULL,NULL,NULL,"GLASS (95.00%), LAMP (5.00%)"
2095,144,This And That,2026_SS,TAT/F/7908,Metal Cabinet with cane panels -change to this+78X40X89,119.00,78.50,40.00,89.00,20000.00,940320,9403208000,Furniture,Storage,Cabinets & Sideboards,NULL,Cabinet,37,Black,104,Natural,NULL,NULL,"IRON (93.00%), RATTAN (1.50%), MANGO WOOD (5.50%)"
2096,144,This And That,2026_SS,TAT/F/7380A,Side Table with wooden drawer+44X37X59,42.00,44.00,37.00,59.00,12500.00,940320,9403208000,Furniture,Tables,Side Tables,NULL,Side table,37,Black,104,Natural,NULL,NULL,"IRON (80.00%), MANGO WOOD (19.00%), RATTAN (1.00%)"
2097,144,This And That,2026_SS,TAT/F/7376A,Metal Cabinet with Cane Panels-quotation with the wood part inside the two open spaces (like the night table above)+122X36.5X59,129.00,122.00,37.00,59.00,26900.00,940320,9403208000,Furniture,Storage,TV Stands,NULL,TV stand,37,Black,104,Natural,NULL,NULL,"IRON (75.00%), MANGO WOOD (24.00%), RATTAN (1.00%)"
2098,144,This And That,2026_SS,TAT/F/8279,JUTE WOODEN SCREEN+140X2.5X180,115.00,140.00,2.50,180.00,22600.00,940360,9403609000,Furniture,Storage,Folding Screens & Room Dividers,NULL,Folding screen,104,Natural,NULL,NULL,NULL,NULL,"MANGO WOOD (55.00%), JUTE (45.00%)"
2146,912,Top Pound,2026_SS,K5-3242S,rattan mirror with grass décor+D60,10.50,60.00,60.00,3.00,1.80,700992,7009920000,Decoration,Mirrors,Wall Mirrors,NULL,Wall mirror,104,Natural,NULL,NULL,NULL,NULL,"SEAGRASS (60.00%), MIRROR (40.00%)"
2147,912,Top Pound,2026_SS,K5-3242L,rattan mirror with grass décor+D78,13.40,78.00,78.00,3.00,2.50,700992,7009920000,Decoration,Mirrors,Wall Mirrors,NULL,Wall mirror,104,Natural,NULL,NULL,NULL,NULL,"SEAGRASS (60.00%), MIRROR (40.00%)"
2148,912,Top Pound,2026_SS,K5-3511,Natural Mirror+D39*H44cm,4.90,39.00,44.00,2.00,0.00,700992,7009920000,Decoration,Mirrors,Wall Mirrors,NULL,Wall mirror,104,Natural,NULL,NULL,NULL,NULL,"RATTAN (10.00%), MIRROR (90.00%)"
2756,654,Hongguang,2026_SS,HG04172A0-G6697,"13.5""VASE",10.68,26.50,26.00,34.50,3400.00,691390,6913901090,Decoration,Flower Pots & Vases,Vases,NULL,Vase,58,Green,NULL,NULL,NULL,NULL,"CLAY (95.00%), GLAZE (5.00%)"
3354,1149,Home Deco Limited,2026_SS,71379,COTTON CANVAS FRAMED WITH BLACK LINES 83X123,35.90,83.00,4.30,123.00,NULL,491191,4911910090,Decoration,Wall Decoration,Paintings,NULL,Painting,79,Ecru,37,Black,NULL,NULL,"COTTON (10.00%), PINEWOOD (50.00%), POLYRESIN (40.00%)"
